id,category,left_gt,right_gt,left_dimensions,right_dimensions,image_bytes_equal
UN19_1002_em_18,identical,"B C H ( x , y ) = x + y + \frac { 1 } { 2 } [ x , y ] + \ldots","B C H ( x , y ) = x + y + \frac { 1 } { 2 } [ x , y ] + \ldots",578x108,460x89,false
UN19_1002_em_19,identical,2 \int R _ { a b } R ^ { a b } c,2 \int R _ { a b } R ^ { a b } c,323x188,182x111,false
UN19_1002_em_20,identical,d s ^ { 2 } = d t ^ { 2 } - a ^ { 2 } ( t ) d x ^ { 2 } - b ^ { 2 } ( t ) ( d y ^ { 2 } + d z ^ { 2 } ),d s ^ { 2 } = d t ^ { 2 } - a ^ { 2 } ( t ) d x ^ { 2 } - b ^ { 2 } ( t ) ( d y ^ { 2 } + d z ^ { 2 } ),719x95,602x83,false
UN19_1002_em_21,identical,M \rightarrow \frac { M } { \sqrt { c } },M \rightarrow \frac { M } { \sqrt { c } },234x136,176x106,false
UN19_1002_em_22,only_limits,\int _ { a } ^ { b } d x f ( x ) e ^ { i N x },\int \limits _ { a } ^ { b } d x f ( x ) e ^ { i N x },336x160,257x126,false
UN19_1002_em_23,identical,g + B,g + B,186x106,127x76,false
UN19_1002_em_24,identical,x ^ { p + 1 } \ldots x ^ { 5 },x ^ { p + 1 } \ldots x ^ { 5 },301x90,288x87,false
UN19_1002_em_25,only_limits,\lim _ { k \rightarrow 0 } R _ { k } = 0,\lim \limits _ { k \rightarrow 0 } R _ { k } = 0,317x119,316x118,false
UN19_1002_em_26,residual,f ( z ) = { \frac { z } { \sqrt { 1 + z ^ { 2 } } } },f ( z ) = \frac { z } { \sqrt { 1 + z ^ { 2 } } },378x162,252x113,false
UN19_1002_em_27,identical,d ^ { M } ( m ) = 8 \times \frac { 1 } { 6 } ( m + 1 ) ( m + 2 ) ( m + 3 ),d ^ { M } ( m ) = 8 \times \frac { 1 } { 6 } ( m + 1 ) ( m + 2 ) ( m + 3 ),713x108,555x89,false
UN19_1002_em_28,identical,x y = ( - 1 ) ^ { | x | | y | } y x,x y = ( - 1 ) ^ { | x | | y | } y x,458x137,315x100,false
UN19_1002_em_29,identical,3 ^ { 5 } c ^ { 3 } + 8 1 c ^ { 2 } - 1 3 5 c - 2 1,3 ^ { 5 } c ^ { 3 } + 8 1 c ^ { 2 } - 1 3 5 c - 2 1,538x104,547x104,false
UN19_1003_em_30,identical,n = - 1 + \sqrt { 1 5 },n = - 1 + \sqrt { 1 5 },364x85,347x81,false
UN19_1003_em_31,identical,2 f - e _ { 1 } + 2 e _ { 4 } - e _ { 5 } + e _ { 7 } + 2 e _ { 9 },2 f - e _ { 1 } + 2 e _ { 4 } - e _ { 5 } + e _ { 7 } + 2 e _ { 9 },711x128,671x122,false
UN19_1003_em_32,identical,\frac { c } { u },\frac { c } { u },106x128,99x120,false
UN19_1003_em_33,identical,f \sin \alpha,f \sin \alpha,215x113,165x90,false
UN19_1003_em_34,identical,y _ { 1 } ( x ) \log x,y _ { 1 } ( x ) \log x,316x119,243x95,false
UN19_1003_em_35,identical,( n - 2 ) ( n - 4 ) \ldots ( 1 ) \times ( n - 2 ) ( n - 4 ) \ldots ( 1 ),( n - 2 ) ( n - 4 ) \ldots ( 1 ) \times ( n - 2 ) ( n - 4 ) \ldots ( 1 ),700x95,540x78,false
UN19_1003_em_36,identical,v _ { 2 } v _ { 3 } - v _ { 1 } v _ { 4 } = 1,v _ { 2 } v _ { 3 } - v _ { 1 } v _ { 4 } = 1,340x66,452x79,false
UN19_1003_em_37,identical,X _ { x y x y },X _ { x y x y },197x147,155x118,false
UN19_1003_em_38,identical,g ^ { a b } = h ^ { a b } - n ^ { a } n ^ { b },g ^ { a b } = h ^ { a b } - n ^ { a } n ^ { b },414x135,381x125,false
UN19_1003_em_39,identical,R = \frac { 1 } { 2 } \sqrt { a _ { 3 } + a _ { 1 } },R = \frac { 1 } { 2 } \sqrt { a _ { 3 } + a _ { 1 } },365x111,433x128,false
UN19_1003_em_40,identical,- \frac { 1 } { 2 } x ^ { 2 } \log ( x ),- \frac { 1 } { 2 } x ^ { 2 } \log ( x ),352x116,346x113,false
UN19_1003_em_41,identical,3 \times 3 \times 3,3 \times 3 \times 3,319x85,248x71,false
UN19_1003_em_42,identical,- \frac { 1 } { 2 \sqrt { 3 } },- \frac { 1 } { 2 \sqrt { 3 } },185x121,180x118,false
UN19_1003_em_43,identical,x _ { n + 1 } + x _ { n } = x _ { 2 },x _ { n + 1 } + x _ { n } = x _ { 2 },480x95,628x117,false
UN19_1003_em_44,identical,3 2 x ^ { 5 } - 3 2 x ^ { 3 } + 6 x,3 2 x ^ { 5 } - 3 2 x ^ { 3 } + 6 x,534x100,525x98,false
UN19_1004_em_45,identical,P _ { 6 } ( x ) = x ^ { 2 } P _ { 4 } ( x ) = x ^ { 2 } ( x ^ { 2 } - a ^ { 2 } ) ( x ^ { 2 } - b ^ { 2 } ),P _ { 6 } ( x ) = x ^ { 2 } P _ { 4 } ( x ) = x ^ { 2 } ( x ^ { 2 } - a ^ { 2 } ) ( x ^ { 2 } - b ^ { 2 } ),770x128,778x129,false
UN19_1004_em_46,identical,( 0 0 1 0 0 0 0 0 0 ),( 0 0 1 0 0 0 0 0 0 ),538x178,233x87,false
UN19_1004_em_47,identical,\frac { 1 } { \sqrt { r } },\frac { 1 } { \sqrt { r } },204x260,88x107,false
UN19_1004_em_48,identical,\int \limits _ { 0 } ^ { x } d ^ { n } x,\int \limits _ { 0 } ^ { x } d ^ { n } x,281x310,109x118,false
UN19_1004_em_49,identical,8 \cos \theta,8 \cos \theta,434x171,158x73,false
UN19_1004_em_50,identical,z = \frac { - b } { a },z = \frac { - b } { a },325x189,155x97,false
UN19_1004_em_51,identical,v = \sqrt { v _ { 3 } ^ { 2 } + v _ { 4 } ^ { 2 } + v _ { 5 } ^ { 2 } },v = \sqrt { v _ { 3 } ^ { 2 } + v _ { 4 } ^ { 2 } + v _ { 5 } ^ { 2 } },654x286,361x165,false
UN19_1004_em_52,identical,\frac { 3 7 \sqrt { \pi } } { 8 1 9 2 } \frac { \alpha } { R ^ { 3 } },\frac { 3 7 \sqrt { \pi } } { 8 1 9 2 } \frac { \alpha } { R ^ { 3 } },453x217,233x118,false
UN19_1004_em_53,identical,C \geq 0,C \geq 0,315x126,154x70,false
UN19_1004_em_54,identical,( \frac { p 2 ^ { - p } } { 1 + p } - 1 ),( \frac { p 2 ^ { - p } } { 1 + p } - 1 ),445x256,176x108,false
UN19_1004_em_55,identical,\int d ^ { 4 } x \sqrt { g } R ^ { 3 },\int d ^ { 4 } x \sqrt { g } R ^ { 3 },460x291,175x116,false
UN19_1004_em_56,identical,- \frac { 9 } { 7 6 8 },- \frac { 9 } { 7 6 8 },323x235,133x102,false
UN19_1004_em_57,identical,"P _ { m a x } = \frac { 8 \sqrt { 3 } } { 1 5 } = 0 , 9 2 4","P _ { m a x } = \frac { 8 \sqrt { 3 } } { 1 5 } = 0 , 9 2 4",741x173,451x113,false
UN19_1004_em_58,identical,z = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),z = \frac { 1 } { \sqrt { 2 } } ( x ^ { 1 } + i x ^ { 2 } ),639x208,352x123,false
UN19_1004_em_59,identical,b = \sqrt { \frac { 2 \sqrt { 3 } } { 5 } },b = \sqrt { \frac { 2 \sqrt { 3 } } { 5 } },423x247,142x90,false
UN19_1005_em_60,identical,b ^ { 2 } = 1 + \frac { u ^ { 2 } } { 2 } = \frac { 1 } { E ^ { 2 } },b ^ { 2 } = 1 + \frac { u ^ { 2 } } { 2 } = \frac { 1 } { E ^ { 2 } },536x160,566x166,false
UN19_1005_em_61,identical,| \int d ^ { 4 } x A ^ { a } ( x ) | < \infty,| \int d ^ { 4 } x A ^ { a } ( x ) | < \infty,697x194,322x100,false
UN19_1005_em_62,identical,4 x ^ { 3 } - 3 x,4 x ^ { 3 } - 3 x,472x129,294x87,false
UN19_1005_em_63,identical,x ^ { 5 } - x ^ { 9 },x ^ { 5 } - x ^ { 9 },423x116,327x94,false
UN19_1005_em_64,identical,a = \frac { 1 } { \sqrt { 2 } } ( A + B ) b = \frac { 1 } { \sqrt { 2 } } ( A - B ),a = \frac { 1 } { \sqrt { 2 } } ( A + B ) b = \frac { 1 } { \sqrt { 2 } } ( A - B ),806x149,558x109,false
UN19_1005_em_65,identical,"[ x , y ] = x y - y x","[ x , y ] = x y - y x",655x148,385x95,false
UN19_1005_em_66,identical,h _ { 0 } = \frac { 7 } { 2 \sqrt { 3 } } \sqrt { a ^ { 2 } + 1 2 n ^ { 2 } },h _ { 0 } = \frac { 7 } { 2 \sqrt { 3 } } \sqrt { a ^ { 2 } + 1 2 n ^ { 2 } },574x159,431x123,false
UN19_1005_em_67,identical,r = \sqrt { x ^ { 2 } + y ^ { 2 } + z ^ { 2 } },r = \sqrt { x ^ { 2 } + y ^ { 2 } + z ^ { 2 } },542x134,435x111,false
UN19_1005_em_68,identical,a = i ( \frac { l - 1 } { 2 \beta } - \frac { k - 1 } { 2 } \beta ),a = i ( \frac { l - 1 } { 2 \beta } - \frac { k - 1 } { 2 } \beta ),667x225,294x109,false
UN19_1005_em_69,identical,y = x ^ { 4 } + i x ^ { 5 },y = x ^ { 4 } + i x ^ { 5 },539x159,438x132,false
UN19_1005_em_70,identical,\sum p ^ { 2 n },\sum p ^ { 2 n },340x158,184x92,false
UN19_1005_em_71,identical,\cos \theta _ { 0 } = \sqrt { \frac { 1 } { 5 } },\cos \theta _ { 0 } = \sqrt { \frac { 1 } { 5 } },501x179,252x99,false
UN19_1005_em_72,identical,( k + k + n ) \times ( k + k + n ),( k + k + n ) \times ( k + k + n ),825x199,377x101,false
UN19_1005_em_73,residual,\sin { \theta } \leq 1,\sin \theta \leq 1,437x117,233x72,false
UN19_1005_em_74,identical,\sum q _ { i } = - \frac { 1 } { 4 },\sum q _ { i } = - \frac { 1 } { 4 },466x169,247x97,false
UN19_1006_em_75,identical,"x y - y x - ( x , y )","x y - y x - ( x , y )",739x161,408x98,false
UN19_1006_em_76,identical,\int d ^ { 6 } y \sqrt { d e t g _ { m n } },\int d ^ { 6 } y \sqrt { d e t g _ { m n } },500x209,217x99,false
UN19_1006_em_77,identical,- x \leq y,- x \leq y,566x141,312x87,false
UN19_1006_em_78,identical,\frac { 3 5 } { 5 2 8 },\frac { 3 5 } { 5 2 8 },204x165,152x124,false
UN19_1006_em_79,identical,7 \times 7,7 \times 7,388x137,144x62,false
UN19_1006_em_80,identical,H = \sqrt { \frac { 5 } { 2 } } ( \frac { 1 } { ( x - 1 ) } + \frac { 1 } { 2 } ),H = \sqrt { \frac { 5 } { 2 } } ( \frac { 1 } { ( x - 1 ) } + \frac { 1 } { 2 } ),620x161,374x105,false
UN19_1006_em_81,identical,x ^ { 4 } \ldots x ^ { 9 },x ^ { 4 } \ldots x ^ { 9 },455x143,366x119,false
UN19_1006_em_82,only_limits,"\alpha N _ { f } = \alpha ( \sum _ { I = 1 } ^ { 9 } v _ { I } \gamma _ { I } + \sum _ { i = 1 } ^ { 3 } \frac { i \mu x ^ { i } } { 4 } \{ \gamma _ { i } , \gamma _ { 1 2 3 } \} ) + \alpha ^ { 2 } \mu ^ { 2 } / 4 ^ { 2 }","\alpha N _ { f } = \alpha ( \sum \limits _ { I = 1 } ^ { 9 } v _ { I } \gamma _ { I } + \sum \limits _ { i = 1 } ^ { 3 } \frac { i \mu x ^ { i } } { 4 } \{ \gamma _ { i } , \gamma _ { 1 2 3 } \} ) + \alpha ^ { 2 } \mu ^ { 2 } / 4 ^ { 2 }",825x144,936x160,false
UN19_1006_em_83,only_limits,\lim _ { L \rightarrow \infty } a _ { \pi } L ^ { 2 },\lim \limits _ { L \rightarrow \infty } a _ { \pi } L ^ { 2 },272x130,297x140,false
UN19_1006_em_84,identical,a - b \sqrt { P _ { e x c } },a - b \sqrt { P _ { e x c } },421x114,339x95,false
UN19_1006_em_85,only_limits,\lim _ { r \rightarrow \infty } V ( r ),\lim \limits _ { r \rightarrow \infty } V ( r ),302x135,240x110,false
UN19_1006_em_86,identical,\frac { a } { b } = \frac { k ^ { 2 } + 1 } { k ^ { 2 } - 1 },\frac { a } { b } = \frac { k ^ { 2 } + 1 } { k ^ { 2 } - 1 },325x164,325x163,false
UN19_1006_em_87,identical,r = | x | = \sqrt { x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } },r = | x | = \sqrt { x _ { 1 } ^ { 2 } + x _ { 2 } ^ { 2 } + x _ { 3 } ^ { 2 } },620x106,654x110,false
UN19_1006_em_88,identical,\sqrt { 4 m },\sqrt { 4 m },235x126,124x72,false
UN19_1006_em_89,identical,y = \frac { 1 } { x } = \frac { b } { w },y = \frac { 1 } { x } = \frac { b } { w },470x163,320x117,false
UN19_1007_em_100,only_limits,a = b ^ { - 1 } c \sum _ { n = 0 } ^ { \infty } ( - 1 ) ^ { n },a = b ^ { - 1 } c \sum \limits _ { n = 0 } ^ { \infty } ( - 1 ) ^ { n },377x127,419x138,false
UN19_1007_em_101,identical,x _ { 1 2 } + x _ { 2 3 } + x _ { 3 1 } = 0,x _ { 1 2 } + x _ { 2 3 } + x _ { 3 1 } = 0,462x89,556x102,false
UN19_1007_em_102,identical,\frac { - 4 } { \sqrt { 3 6 0 } },\frac { - 4 } { \sqrt { 3 6 0 } },163x156,157x150,false
UN19_1007_em_103,identical,t ^ { \prime } = \frac { t - \frac { v x } { c ^ { 2 } } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } },t ^ { \prime } = \frac { t - \frac { v x } { c ^ { 2 } } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } },288x154,452x234,false
UN19_1007_em_104,identical,\cos z _ { 0 },\cos z _ { 0 },189x91,155x77,false
UN19_1007_em_90,identical,\frac { c } { 3 } = \frac { 1 1 } { 1 3 },\frac { c } { 3 } = \frac { 1 1 } { 1 3 },212x130,237x144,false
UN19_1007_em_91,identical,( \frac { 1 } { 3 } + \frac { 5 } { 2 \pi ^ { 2 } n ^ { 2 } } ),( \frac { 1 } { 3 } + \frac { 5 } { 2 \pi ^ { 2 } n ^ { 2 } } ),312x117,317x118,false
UN19_1007_em_92,identical,\sin ^ { n } ( t - t _ { 0 } ),\sin ^ { n } ( t - t _ { 0 } ),269x129,158x82,false
UN19_1007_em_93,identical,x \rightarrow x + i y,x \rightarrow x + i y,279x75,355x89,false
UN19_1007_em_94,identical,\frac { 4 } { 7 },\frac { 4 } { 7 },120x152,142x183,false
UN19_1007_em_95,identical,+ 1 2 0 S R _ { i j j i } + 1 4 4 S L _ { a a } L _ { b b } + 4 8 S L _ { a b } L _ { a b } + 4 8 0 S ^ { 2 } L _ { a a } + 4 8 0 S ^ { 3 },+ 1 2 0 S R _ { i j j i } + 1 4 4 S L _ { a a } L _ { b b } + 4 8 S L _ { a b } L _ { a b } + 4 8 0 S ^ { 2 } L _ { a a } + 4 8 0 S ^ { 3 },844x89,1243x118,false
UN19_1007_em_96,residual,\sum _ { r = 1 } ^ { r _ { m a x } } \frac 1 { r },\sum \limits _ { r = 1 } ^ { r _ { m a x } } \frac { 1 } { r },168x121,298x207,false
UN19_1007_em_97,identical,\sqrt { \frac { 1 } { n + 1 } },\sqrt { \frac { 1 } { n + 1 } },152x129,123x105,false
UN19_1007_em_98,identical,\sqrt { g _ { t t } g _ { x x } },\sqrt { g _ { t t } g _ { x x } },310x137,254x115,false
UN19_1007_em_99,identical,\sin ^ { 2 } ( \frac { 2 4 0 } { 2 3 9 } \frac { L } { 4 E R ^ { 2 } } ),\sin ^ { 2 } ( \frac { 2 4 0 } { 2 3 9 } \frac { L } { 4 E R ^ { 2 } } ),422x161,348x135,false
UN19_1008_em_105,only_limits,\lim _ { z \rightarrow 1 } \sum z ^ { n },\lim \limits _ { z \rightarrow 1 } \sum z ^ { n },217x121,208x115,false
UN19_1008_em_106,identical,\sqrt { n a },\sqrt { n a },232x117,141x77,false
UN19_1008_em_107,identical,y = \frac { p } { q } x,y = \frac { p } { q } x,184x150,152x125,false
UN19_1008_em_108,identical,[ a ] + \frac { 1 } { 2 } [ b ],[ a ] + \frac { 1 } { 2 } [ b ],255x119,224x106,false
UN19_1008_em_109,identical,\cos \pi j,\cos \pi j,187x89,196x92,false
UN19_1008_em_110,identical,\lim y,\lim y,115x99,93x80,false
UN19_1008_em_111,identical,p \times p,p \times p,102x80,85x67,false
UN19_1008_em_112,identical,T r,T r,65x73,63x71,false
UN19_1008_em_113,identical,X - X,X - X,130x61,129x60,false
UN19_1008_em_114,identical,( x ^ { 8 } - x ^ { 9 } ),( x ^ { 8 } - x ^ { 9 } ),204x93,233x103,false
UN19_1008_em_115,identical,x u = v x = x p ^ { - 1 } x,x u = v x = x p ^ { - 1 } x,373x84,726x142,false
UN19_1008_em_116,identical,x y = y x,x y = y x,186x71,220x79,false
UN19_1008_em_117,identical,T ^ { a a } = T ^ { x x } + T ^ { y y },T ^ { a a } = T ^ { x x } + T ^ { y y },349x73,536x99,false
UN19_1008_em_118,identical,\tan ( \theta ) = 1,\tan ( \theta ) = 1,231x85,188x72,false
UN19_1008_em_119,identical,v _ { 2 n - 1 } ( 0 ) = \frac { 1 } { \sqrt { \pi } } \frac { ( - 1 ) ^ { n + 1 } } { \sqrt { 2 n - 1 } },v _ { 2 n - 1 } ( 0 ) = \frac { 1 } { \sqrt { \pi } } \frac { ( - 1 ) ^ { n + 1 } } { \sqrt { 2 n - 1 } },396x111,602x158,false
UN19_1009_em_120,identical,+ \frac { 1 } { 5 },+ \frac { 1 } { 5 },189x156,128x107,false
UN19_1009_em_121,identical,F = F _ { r e t } + F _ { e x },F = F _ { r e t } + F _ { e x },457x115,351x93,false
UN19_1009_em_122,identical,( 7 4 - 7 7 ),( 7 4 - 7 7 ),355x152,168x80,false
UN19_1009_em_123,identical,- \frac { 1 } { 2 4 } + \frac { 1 } { 1 6 } = \frac { 1 } { 4 8 },- \frac { 1 } { 2 4 } + \frac { 1 } { 1 6 } = \frac { 1 } { 4 8 },367x151,414x168,false
UN19_1009_em_124,identical,\int b = 0,\int b = 0,234x153,107x75,false
UN19_1009_em_125,identical,\sqrt { - g },\sqrt { - g },187x133,83x63,false
UN19_1009_em_126,identical,\tan ( x ) < \alpha,\tan ( x ) < \alpha,420x110,249x74,false
UN19_1009_em_127,identical,X \times X \times X,X \times X \times X,499x132,261x78,false
UN19_1009_em_128,identical,\sin ( k r ),\sin ( k r ),329x123,196x80,false
UN19_1009_em_129,identical,| x + y | \leq | x | + | y |,| x + y | \leq | x | + | y |,658x141,307x77,false
UN19_1009_em_130,identical,\int d ^ { d } x e ( x ),\int d ^ { d } x e ( x ),394x167,220x101,false
UN19_1009_em_131,identical,1 + 1 0 + 1 1 + 1 5 = 3 7,1 + 1 0 + 1 1 + 1 5 = 3 7,691x127,369x77,false
UN19_1009_em_132,identical,\int d ^ { 3 } x,\int d ^ { 3 } x,236x196,108x93,false
UN19_1009_em_133,identical,a = - b ^ { - 1 } c + b ^ { - 1 } a b,a = - b ^ { - 1 } c + b ^ { - 1 } a b,611x132,438x100,false
UN19_1009_em_134,only_limits,\sum _ { x } d _ { x } = 7 2 0,\sum \limits _ { x } d _ { x } = 7 2 0,455x169,285x112,false
UN19_1010_em_135,identical,b _ { i } = \sin ^ { 2 } x _ { i },b _ { i } = \sin ^ { 2 } x _ { i },358x119,330x110,false
UN19_1010_em_136,identical,x ^ { 1 } \ldots x ^ { 5 },x ^ { 1 } \ldots x ^ { 5 },317x82,354x89,false
UN19_1010_em_137,identical,\sin ( \pi \alpha ) = \sin ( \pi \beta ) = 0,\sin ( \pi \alpha ) = \sin ( \pi \beta ) = 0,549x78,577x80,false
UN19_1010_em_138,residual,"[ - a + \frac { i \beta m } 2 , a + \frac { i \beta m } 2 ]","[ - a + \frac { i \beta m } { 2 } , a + \frac { i \beta m } { 2 } ]",552x115,589x121,false
UN19_1010_em_139,identical,\beta = \sqrt { \beta _ { a } \beta ^ { a } },\beta = \sqrt { \beta _ { a } \beta ^ { a } },314x105,251x87,false
UN19_1010_em_140,identical,\frac { n _ { 1 } } { \sin \theta _ { 1 } } = \frac { n _ { 2 } } { \sin \theta _ { 2 } },\frac { n _ { 1 } } { \sin \theta _ { 1 } } = \frac { n _ { 2 } } { \sin \theta _ { 2 } },302x117,610x217,false
UN19_1010_em_141,identical,2 n + n ( n - 2 ) + 2 = n ^ { 2 } + 2,2 n + n ( n - 2 ) + 2 = n ^ { 2 } + 2,573x79,617x82,false
UN19_1010_em_142,identical,A A,A A,134x100,69x55,false
UN19_1010_em_143,identical,k + x,k + x,201x80,189x76,false
UN19_1010_em_144,identical,x _ { 1 } ^ { a } x _ { 2 } ^ { b } x _ { 3 } ^ { c },x _ { 1 } ^ { a } x _ { 2 } ^ { b } x _ { 3 } ^ { c },259x93,359x121,false
UN19_1010_em_145,identical,w ^ { i + j } + w ^ { - j } + w ^ { - i },w ^ { i + j } + w ^ { - j } + w ^ { - i },385x78,739x128,false
UN19_1010_em_146,identical,\int T r,\int T r,111x109,80x78,false
UN19_1010_em_147,identical,X \times X,X \times X,267x103,173x73,false
UN19_1010_em_148,identical,\sin x = \frac { 1 } { 2 } ( 1 - \cos 2 x ),\sin x = \frac { 1 } { 2 } ( 1 - \cos 2 x ),508x104,627x122,false
UN19_1010_em_149,identical,\frac { 1 } { 2 } 4 \times 5 - 1 = 9,\frac { 1 } { 2 } 4 \times 5 - 1 = 9,396x110,464x125,false
UN19_1011_em_150,identical,x \rightarrow a x + b,x \rightarrow a x + b,221x59,416x90,false
UN19_1011_em_151,identical,a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },a [ 3 ] = \frac { 1 } { 2 } a _ { 2 } + a _ { 3 } + \frac { 3 } { 2 },338x99,535x145,false
UN19_1011_em_152,identical,2 \sin ^ { 2 } x = ( 1 - \cos 2 x ),2 \sin ^ { 2 } x = ( 1 - \cos 2 x ),452x84,664x111,false
UN19_1011_em_153,residual,\sqrt { q } = 2 \cos \frac { \pi } { ( p { + } 1 ) },\sqrt { q } = 2 \cos \frac { \pi } { ( p + 1 ) },390x126,501x155,false
UN19_1011_em_154,identical,n ! L _ { n } ^ { ( m - n ) } ( z ) = ( - z ) ^ { n - m } m ! L _ { m } ^ { ( n - m ) } ( z ),n ! L _ { n } ^ { ( m - n ) } ( z ) = ( - z ) ^ { n - m } m ! L _ { m } ^ { ( n - m ) } ( z ),737x100,927x118,false
UN19_1011_em_155,identical,\int d ^ { 4 } x ( 1 + a ^ { 4 } ),\int d ^ { 4 } x ( 1 + a ^ { 4 } ),342x129,286x110,false
UN19_1011_em_156,identical,y _ { 2 } ( x ) = t _ { 3 } ( x ) - t _ { 2 } ( x ),y _ { 2 } ( x ) = t _ { 3 } ( x ) - t _ { 2 } ( x ),502x102,544x107,false
UN19_1011_em_157,identical,x ^ { 1 ^ { 2 } } + y ^ { 1 ^ { 2 } } = r ^ { 2 } + a ^ { 1 ^ { 2 } },x ^ { 1 ^ { 2 } } + y ^ { 1 ^ { 2 } } = r ^ { 2 } + a ^ { 1 ^ { 2 } },525x125,803x179,false
UN19_1011_em_158,identical,\int \sqrt { g } R ^ { 2 },\int \sqrt { g } R ^ { 2 },227x118,136x76,false
UN19_1011_em_159,identical,\int d B,\int d B,132x152,80x91,false
UN19_1011_em_160,identical,k _ { a } \neq k _ { b } \neq k _ { c },k _ { a } \neq k _ { b } \neq k _ { c },379x81,328x73,false
UN19_1011_em_161,identical,\frac { 2 7 } { 7 },\frac { 2 7 } { 7 },108x128,100x119,false
UN19_1011_em_162,identical,l = 1 \div 1 0,l = 1 \div 1 0,305x79,257x70,false
UN19_1011_em_163,only_limits,\lim _ { z \rightarrow \infty } z s ( z ) < \infty,\lim \limits _ { z \rightarrow \infty } z s ( z ) < \infty,388x106,518x134,false
UN19_1011_em_164,identical,( 1 2 5 ) - ( 1 3 5 ) + ( 7 3 5 ) - ( 7 2 5 ),( 1 2 5 ) - ( 1 3 5 ) + ( 7 3 5 ) - ( 7 2 5 ),620x77,621x76,false
UN19_1012_em_165,identical,- \frac { 1 1 - z + 5 z ^ { 2 } + z ^ { 3 } } { 1 6 },- \frac { 1 1 - z + 5 z ^ { 2 } + z ^ { 3 } } { 1 6 },531x163,448x140,false
UN19_1012_em_166,identical,a \sqrt { 2 },a \sqrt { 2 },297x137,132x69,false
UN19_1012_em_167,identical,1 0 \times 6 + 1 0 \times 4 = 1 0 0,1 0 \times 6 + 1 0 \times 4 = 1 0 0,767x121,564x95,false
UN19_1012_em_168,identical,\sqrt { - g } = \sqrt { h },\sqrt { - g } = \sqrt { h },480x151,197x73,false
UN19_1012_em_169,identical,\cos x = - 3 \sqrt { 3 } M H ^ { - 1 },\cos x = - 3 \sqrt { 3 } M H ^ { - 1 },732x113,402x72,false
UN19_1012_em_170,identical,\frac { 9 } { 8 },\frac { 9 } { 8 },134x206,72x102,false
UN19_1012_em_171,identical,y d y,y d y,203x136,89x64,false
UN19_1012_em_172,identical,"f ( z , \cos z , \sin z )","f ( z , \cos z , \sin z )",699x196,300x95,false
UN19_1012_em_173,only_limits,h _ { 2 } = \frac { 1 } { 2 } \sum _ { a } \sum _ { i = 1 } ^ { 3 } ( m _ { i } ^ { a } ) ^ { 2 },h _ { 2 } = \frac { 1 } { 2 } \sum \limits _ { a } \sum \limits _ { i = 1 } ^ { 3 } ( m _ { i } ^ { a } ) ^ { 2 },661x192,472x142,false
UN19_1012_em_174,identical,- \frac { 4 } { \sqrt { 7 } },- \frac { 4 } { \sqrt { 7 } },265x172,210x138,false
UN19_1012_em_175,identical,3 0 \div 2 0,3 0 \div 2 0,395x88,224x59,false
UN19_1012_em_176,identical,\frac { 1 } { \sqrt { 8 } },\frac { 1 } { \sqrt { 8 } },142x164,105x120,false
UN19_1012_em_177,identical,( \frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 } 0 0 0 0 ),( \frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 } \frac { 1 } { 2 } 0 0 0 0 ),656x162,432x113,false
UN19_1012_em_178,identical,- \frac { 1 1 + z + 5 z ^ { 2 } - z ^ { 3 } } { 1 6 },- \frac { 1 1 + z + 5 z ^ { 2 } - z ^ { 3 } } { 1 6 },715x179,515x134,false
UN19_1012_em_179,identical,a = 3 ( 4 + \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 5 + 1 4 \sqrt { 1 0 } ),a = 3 ( 4 + \sqrt { 1 0 } ) \sqrt { 1 0 } / ( 5 + 1 4 \sqrt { 1 0 } ),820x113,568x85,false
UN19_1013_em_180,identical,\log ( z \log z ),\log ( z \log z ),451x154,243x91,false
UN19_1013_em_181,identical,- 3 + 6 \cos \theta + \cos ^ { 2 } \theta,- 3 + 6 \cos \theta + \cos ^ { 2 } \theta,719x125,435x84,false
UN19_1013_em_182,identical,l \sin y _ { 0 },l \sin y _ { 0 },281x137,172x89,false
UN19_1013_em_183,identical,"( 1 , - \frac { 1 } { 3 } , - \frac { 1 } { 3 } , - \frac { 1 } { 3 } )","( 1 , - \frac { 1 } { 3 } , - \frac { 1 } { 3 } , - \frac { 1 } { 3 } )",695x210,382x123,false
UN19_1013_em_184,identical,t r,t r,141x124,89x80,false
UN19_1013_em_185,identical,C \times C,C \times C,372x139,128x59,false
UN19_1013_em_186,identical,V _ { 1 } = - \log | \sin x |,V _ { 1 } = - \log | \sin x |,627x156,338x94,false
UN19_1013_em_187,identical,b y a,b y a,231x157,114x82,false
UN19_1013_em_188,identical,\int \sqrt { g ^ { ( 2 ) } },\int \sqrt { g ^ { ( 2 ) } },309x228,128x99,false
