id,latex_modelo1,latex_modelo2,n_tokens_modelo1,n_tokens_modelo2,delta_n_tokens,distancia_tokens,tipo_diferencia,operaciones
RIT_2014_193,E _ { t o t } = \sum _ { n } E _ { n },E _ { t o t } = \sum \limits _ { n } E _ { n },18,19,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_2,\lim _ { x \rightarrow c } f ( x ) = L,\lim \limits _ { x \rightarrow c } f ( x ) = L,13,14,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_200,\lim _ { n \rightarrow \infty } y _ { n } = 0,\lim \limits _ { n \rightarrow \infty } y _ { n } = 0,14,15,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_207,\sum _ { i = 1 } ^ { n } [ i ^ { k + 1 } - ( i - 1 ) ^ { k + 1 } ] = n ^ { k + 1 },\sum \limits _ { i = 1 } ^ { n } [ i ^ { k + 1 } - ( i - 1 ) ^ { k + 1 } ] = n ^ { k + 1 },40,41,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_208,\sum _ { k = 1 } ^ { 1 } a _ { k } = a _ { 1 },\sum \limits _ { k = 1 } ^ { 1 } a _ { k } = a _ { 1 },22,23,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_21,\sum _ { i = 1 } ^ { n + 1 } i,\sum \limits _ { i = 1 } ^ { n + 1 } i,14,15,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_235,\lim _ { x \rightarrow c } f ( x ),\lim \limits _ { x \rightarrow c } f ( x ),11,12,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_243,\sum _ { n = 5 } ^ { 1 0 } ( 2 _ { n } + 1 ),\sum \limits _ { n = 5 } ^ { 1 0 } ( 2 _ { n } + 1 ),21,22,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_259,- \sum _ { i } P _ { i } \log _ { n } P _ { i },- \sum \limits _ { i } P _ { i } \log _ { n } P _ { i },21,22,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_295,\lim _ { y \rightarrow x } f ( x ),\lim \limits _ { y \rightarrow x } f ( x ),11,12,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_304,\lim _ { x \rightarrow - \infty } P _ { k + 1 } ( x ) < 0,\lim \limits _ { x \rightarrow - \infty } P _ { k + 1 } ( x ) < 0,20,21,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_91,\sum _ { r = 1 } ^ { n } r ^ { 3 },\sum \limits _ { r = 1 } ^ { n } r ^ { 3 },16,17,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
RIT_2014_94,\sum _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n },\sum \limits _ { n = 1 } ^ { \infty } \frac { \cos \pi n } { n },20,21,1,1,solo \limits,"[{""operacion"": ""insert"", ""tokens_modelo1"": [], ""tokens_modelo2"": [""\\limits""]}]"
